pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,6,0,24,0,,,,,65.90535070002079,,65.89399210002739,65.90535070002079,66.90562460001092,66.90562460001092,66.90562460001092,66.90562460001092,66.90562460001092,67.90535360004287,67.90535360004287,68.20954810001422,x,1,0.2949193000094965,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,6,1,25,1,,,,,68.22206519998144,,68.2110661000479,68.22206519998144,69.22235139994882,69.22235139994882,69.22235139994882,69.22235139994882,69.22235139994882,70.22208930004854,70.22208930004854,70.94335880002473,v,1,0.715066000004299,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,6,2,26,2,,,,,70.95550159993581,,70.94451139995363,70.95550159993581,71.95569540001452,71.95569540001452,71.95569540001452,71.95569540001452,71.95569540001452,72.95553519995883,72.95553519995883,73.31111689994577,c,1,0.3422790999757126,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,6,3,27,3,,,,,73.32210680004209,,73.31268199998885,73.32210680004209,74.32228079997003,74.32228079997003,74.32228079997003,74.32228079997003,74.32228079997003,75.32220359996427,75.32220359996427,75.90978610003367,z,1,0.5804809000110254,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,7,0,28,0,,,,,75.92267889995128,,75.9107345000375,75.92267889995128,76.92238020000514,76.92238020000514,76.92238020000514,76.92238020000514,76.92238020000514,77.92247210000642,77.92247210000642,78.3617280999897,x,1,0.42681269999593496,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,7,1,29,1,,,,,78.37276159995236,,78.36282519996166,78.37276159995236,79.37237530003767,79.37237530003767,79.37237530003767,79.37237530003767,79.37237530003767,80.37256319995504,80.37256319995504,81.12828259996604,v,1,0.7478282999945804,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,7,2,30,2,,,,,81.13915589998942,,81.13008100003935,81.13915589998942,82.13920039997902,82.13920039997902,82.13920039997902,82.13920039997902,82.13920039997902,83.13964149996173,83.13964149996173,83.59534630004782,c,1,0.4410654000239447,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,7,3,31,3,,,,,83.60592430003453,,83.59733549994417,83.60592430003453,84.6062628000509,84.6062628000509,84.6062628000509,84.6062628000509,84.6062628000509,85.6063065000344,85.6063065000344,86.25983809994068,z,1,0.6399909000610933,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,8,0,32,0,,,,,86.27237120002974,,86.26100679999217,86.27237120002974,87.27294069994241,87.27294069994241,87.27294069994241,87.27294069994241,87.27294069994241,88.27292400004808,88.27292400004808,88.71148709999397,x,1,0.4221610000822693,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,8,1,33,1,,,,,88.7231666999869,,88.71271140000317,88.7231666999869,89.72306670004036,89.72306670004036,89.72306670004036,89.72306670004036,89.72306670004036,90.7228653000202,90.7228653000202,91.1436181999743,v,1,0.4085037000477314,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
